time	V(n002)	I(R2)
2.981909926352123e-001	-5.670326e-001	1.398971e-007
2.984735453102727e-001	-4.787475e-001	3.191540e-008
2.989518105186538e-001	-3.289885e-001	-1.808128e-008
2.994397956260958e-001	-1.759217e-001	-3.012498e-008
2.999280768760958e-001	-2.259661e-002	-3.342015e-008
3.004163581260958e-001	1.307499e-001	-3.604050e-008
3.009046393760958e-001	2.839730e-001	-3.992140e-008
3.013929206260958e-001	4.369695e-001	-5.847471e-008
3.016882447944387e-001	5.293171e-001	-1.254425e-007
3.019581414018517e-001	6.135018e-001	-3.611578e-007
3.022237930116912e-001	6.960716e-001	-1.151161e-006
3.025093149728332e-001	7.841814e-001	-4.071162e-006
3.028109239903765e-001	8.757781e-001	-1.326963e-005
3.030496300208357e-001	9.456490e-001	-3.259461e-005
3.032710996764049e-001	1.005624e+000	-7.373618e-005
3.035170318502014e-001	1.063854e+000	-1.600956e-004
3.037595366743890e-001	1.109678e+000	-3.017720e-004
3.041400527041306e-001	1.161754e+000	-6.201293e-004
3.046283339541306e-001	1.208093e+000	-1.126005e-003
3.051090491399971e-001	1.239612e+000	-1.688265e-003
3.055973303899971e-001	1.262873e+000	-2.295743e-003
3.070621741399971e-001	1.307973e+000	-4.190380e-003
3.078294732471399e-001	1.322826e+000	-5.197323e-003
3.085967723542828e-001	1.336143e+000	-6.178638e-003
3.093640714614256e-001	1.347924e+000	-7.134327e-003
3.101313705685685e-001	1.358169e+000	-8.064388e-003
3.108986696757114e-001	1.366878e+000	-8.968823e-003
3.116659687828542e-001	1.374051e+000	-9.847631e-003
3.124332678899971e-001	1.379688e+000	-1.070081e-002
3.138981116399971e-001	1.390132e+000	-1.220525e-002
3.153629553899971e-001	1.398579e+000	-1.355752e-002
3.168277991399971e-001	1.405397e+000	-1.474397e-002
3.182926428899971e-001	1.410828e+000	-1.575306e-002
3.197574866399971e-001	1.415034e+000	-1.657521e-002
3.212223303899971e-001	1.418125e+000	-1.720272e-002
3.226871741399971e-001	1.420174e+000	-1.762980e-002
3.241520178899971e-001	1.421226e+000	-1.785252e-002
3.256168616399971e-001	1.421303e+000	-1.786883e-002
3.270817053899971e-001	1.420406e+000	-1.767860e-002
3.285465491399971e-001	1.418516e+000	-1.728355e-002
3.300113928899971e-001	1.415593e+000	-1.668732e-002
3.314762366399971e-001	1.411569e+000	-1.589542e-002
3.329410803899971e-001	1.406341e+000	-1.491523e-002
3.344059241399971e-001	1.399755e+000	-1.375605e-002
3.358707678899971e-001	1.391586e+000	-1.242910e-002
3.373356116399971e-001	1.381489e+000	-1.094767e-002
3.388004553899971e-001	1.368917e+000	-9.327464e-003
3.402652991399971e-001	1.352942e+000	-7.587377e-003
3.417301428899971e-001	1.331823e+000	-5.751516e-003
3.431949866399971e-001	1.301730e+000	-3.855466e-003
3.436832678899971e-001	1.288255e+000	-3.220296e-003
3.441715491399971e-001	1.271945e+000	-2.590209e-003
3.446598303899971e-001	1.251423e+000	-1.972753e-003
3.451481116399971e-001	1.224108e+000	-1.381519e-003
3.456363928899971e-001	1.184678e+000	-8.438021e-004
3.461246741399971e-001	1.126353e+000	-3.946750e-004
3.464421270748699e-001	1.070258e+000	-1.903733e-004
3.467877523390974e-001	9.896330e-001	-6.309465e-005
3.469832343370204e-001	9.367045e-001	-2.673499e-005
3.471385626617829e-001	8.912882e-001	-1.399502e-005
3.473196667226095e-001	8.367112e-001	-6.691387e-006
3.475020874233034e-001	7.808808e-001	-3.081253e-006
3.476980508817167e-001	7.203755e-001	-1.301931e-006
3.478696339169585e-001	6.671315e-001	-6.045018e-007
3.480929172189712e-001	5.976217e-001	-2.241381e-007
3.483085034382500e-001	5.303407e-001	-7.812481e-008
3.487050300730762e-001	4.063024e-001	7.803000e-010
3.491933113230762e-001	2.532659e-001	2.650912e-008
3.496815925730762e-001	1.000068e-001	3.199198e-008
3.501698738230762e-001	-5.334692e-002	3.471275e-008
3.506581550730762e-001	-2.066505e-001	3.745000e-008
3.511464363230762e-001	-3.597945e-001	4.244480e-008
3.514464481354901e-001	-4.537451e-001	5.872644e-008
3.516945983982578e-001	-5.313152e-001	1.175881e-007
3.519235772702511e-001	-6.027457e-001	2.970320e-007
3.521743218143700e-001	-6.807355e-001	8.976875e-007
3.524432554433250e-001	-7.638604e-001	3.162743e-006
3.527711419715219e-001	-8.638124e-001	1.153596e-005
3.530167854582015e-001	-9.362657e-001	2.884734e-005
3.532396824376295e-001	-9.974061e-001	6.649944e-005
3.534917881934142e-001	-1.058352e+000	1.489125e-004
3.537274389068146e-001	-1.104390e+000	2.792372e-004
3.540797272740379e-001	-1.154712e+000	5.638229e-004
3.545680085240379e-001	-1.203325e+000	1.059082e-003
3.550358193844752e-001	-1.235555e+000	1.599387e-003
3.555241006344752e-001	-1.259773e+000	2.203192e-003
3.565006631344752e-001	-1.293611e+000	3.459261e-003
3.579655068844752e-001	-1.326505e+000	5.360984e-003
3.594303506344752e-001	-1.349059e+000	7.212885e-003
3.608951943844752e-001	-1.365919e+000	8.975093e-003
3.623600381344752e-001	-1.379104e+000	1.062189e-002
3.638248818844752e-001	-1.389661e+000	1.213353e-002
3.652897256344752e-001	-1.398198e+000	1.349375e-002
3.667545693844752e-001	-1.405090e+000	1.468878e-002
3.682194131344752e-001	-1.410586e+000	1.570698e-002
3.696842568844752e-001	-1.414851e+000	1.653867e-002
3.711491006344752e-001	-1.417996e+000	1.717607e-002
3.726139443844752e-001	-1.420096e+000	1.761328e-002
3.740787881344752e-001	-1.421197e+000	1.784628e-002
3.755436318844752e-001	-1.421322e+000	1.787293e-002
3.770084756344752e-001	-1.420474e+000	1.769299e-002
3.784733193844752e-001	-1.418635e+000	1.730811e-002
3.799381631344752e-001	-1.415765e+000	1.672182e-002
3.814030068844752e-001	-1.411798e+000	1.593954e-002
3.828678506344752e-001	-1.406633e+000	1.496857e-002
3.843326943844752e-001	-1.400120e+000	1.381809e-002
3.857975381344752e-001	-1.392037e+000	1.249922e-002
3.872623818844752e-001	-1.382047e+000	1.102516e-002
3.887272256344752e-001	-1.369616e+000	9.411479e-003
3.901920693844752e-001	-1.353843e+000	7.676871e-003
3.916569131344752e-001	-1.333045e+000	5.845095e-003
3.931217568844752e-001	-1.303561e+000	3.950851e-003
3.940983193844752e-001	-1.274616e+000	2.684132e-003
3.945866006344752e-001	-1.254851e+000	2.064119e-003
3.950748818844752e-001	-1.228801e+000	1.467679e-003
3.955631631344752e-001	-1.191708e+000	9.192899e-004
3.960514443844752e-001	-1.136950e+000	4.531736e-004
3.963934598766832e-001	-1.080301e+000	2.146783e-004
3.967074076325516e-001	-1.010097e+000	8.428367e-005
3.969631886535434e-001	-9.422222e-001	3.002756e-005
3.971124248899901e-001	-8.990638e-001	1.551036e-005
3.972928745822022e-001	-8.448359e-001	7.542267e-006
3.974866476592893e-001	-7.856266e-001	3.305432e-006
3.976687798847818e-001	-7.294433e-001	1.462299e-006
3.978409829829911e-001	-6.760332e-001	6.898664e-007
3.980658432987187e-001	-6.060596e-001	2.550568e-007
3.982742669187315e-001	-5.410354e-001	9.240529e-008
3.986391032388886e-001	-4.269460e-001	5.824019e-009
3.991089069546772e-001	-2.797409e-001	-2.466811e-008
3.995971882046772e-001	-1.265101e-001	-3.142189e-008
4.000854694546772e-001	2.683772e-002	-3.426406e-008
4.005737507046772e-001	1.801603e-001	-3.693079e-008
4.010620319546772e-001	3.333293e-001	-4.200555e-008
4.014591026546585e-001	4.576935e-001	-6.227544e-008
4.017059772936321e-001	5.348642e-001	-1.268567e-007
4.019611586867086e-001	6.144439e-001	-3.633322e-007
4.022295123085373e-001	6.978455e-001	-1.177348e-006
4.025123718727013e-001	7.851224e-001	-4.111904e-006
4.028133846833853e-001	8.765169e-001	-1.338222e-005
4.030511001565117e-001	9.460692e-001	-3.276179e-005
4.032725642251790e-001	1.006004e+000	-7.409210e-005
4.035182173986111e-001	1.064110e+000	-1.606338e-004
4.037610374272866e-001	1.109919e+000	-3.028561e-004
4.041431227005953e-001	1.162099e+000	-6.230553e-004
4.046314039505953e-001	1.208329e+000	-1.129441e-003
4.051128545339078e-001	1.239817e+000	-1.692905e-003
4.056011357839078e-001	1.263031e+000	-2.300563e-003
4.070659795339078e-001	1.308061e+000	-4.195334e-003
4.078332786410506e-001	1.322900e+000	-5.202218e-003
4.086005777481935e-001	1.336204e+000	-6.183454e-003
